;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
40;50209;OP22;FTM004+2520;20241113.067;14.0;0.011494252873563218;True;True;0.0;False;2;;;;
50;50209;OP22;FTM004+2520;20241113.062;0.5;0.011494252873563218;True;True;0.0;False;2;;;;
69;50209;OP22;KJM008+2520;20241120.052;7.1;0.011494252873563218;True;True;0.0;False;2;;;;
81;50209;OP22;KJM008+2520;20241120.032;3.6;0.011494252873563218;True;True;0.0;False;2;;;;
109;50209;OP22;KJM008+2520;20241009.021;6.0;0.011494252873563218;True;True;0.0;False;2;2.02e+18;0.0;6.84;0.03
172;50209;OP23;DBM000+2520;20250401.084;10.0;0.011494252873563218;True;True;0.0;False;2;3.81e+18;1e+16;31.19;0.24
176;50209;OP23;DBM000+2520;20250401.081;10.0;0.011494252873563218;True;True;0.0;False;2;4.5e+18;2e+16;25.67;0.26
189;50209;OP23;DBM000+2520;20250401.052;7.0;0.011494252873563218;True;True;0.0;False;2;3.39e+18;3e+16;31.9;0.56
210;50209;OP23;DBM000+2520;20250401.057;4.0;0.011494252873563218;True;True;0.0;False;2;2.81e+18;1e+16;19.42;0.15
49;50209;OP22;FTM004+2520;20241022.016;2.0;0.011363636363636364;True;True;0.0;False;2;;;;
52;50209;OP22;FTM004+2520;20241113.064;4.0;0.011363636363636364;True;True;0.0;False;2;;;;
149;50209;OP23;DBM000+2520;20250401.072;4.5;0.011363636363636364;True;True;0.0;False;2;4.06e+18;3e+16;26.59;0.33
100;50209;OP22;KJM008+2520;20241016.053;4.0;0.011235955056179775;True;True;0.0;False;2;;;;
123;50209;OP22;KJM008+2520;20241016.055;1.5;0.011235955056179775;True;True;0.0;False;2;;;;
35;50209;OP22;FTM004+2520;20241113.071;0.5;0.011111111111111112;True;True;0.0;False;2;;;;
36;50209;OP22;FTM004+2520;20241113.068;2.0;0.011111111111111112;True;True;0.0;False;2;;;;
47;50209;OP22;FTM004+2520;20241022.020;2.0;0.011111111111111112;True;True;0.0;False;2;;;;
71;50209;OP22;KJM008+2520;20241120.026;7.1;0.011111111111111112;True;True;0.0;False;2;;;;
208;50209;OP23;DBM000+2520;20250401.060;9.9;0.011111111111111112;True;True;0.0;False;2;4.43e+18;1e+16;22.81;0.14
59;50209;OP22;FTM004+2520;20241022.054;7.0;0.01098901098901099;True;True;0.0;False;2;;;;
33;50209;OP22;FTM004+2520;20241113.070;2.0;0.010869565217391304;True;True;0.0;False;2;;;;
39;50209;OP22;FTM004+2520;20241113.068;12.0;0.010869565217391304;True;True;0.0;False;2;;;;
60;50209;OP22;FTM004+2520;20241022.056;4.0;0.010869565217391304;True;True;0.0;False;2;;;;
106;50209;OP22;KJM008+2520;20241009.056;1.9;0.010869565217391304;True;True;0.0;False;2;;;;
96;50209;OP22;KJM008+2520;20241017.010;1.0;0.010638297872340425;True;True;0.0;False;2;;;;
45;50209;OP22;FTM004+2520;20241022.025;2.0;0.010526315789473684;True;True;0.0;False;2;;;;
66;50209;OP22;KJM008+2520;20241120.055;3.6;0.010526315789473684;True;True;0.0;False;2;;;;
41;50209;OP22;FTM004+2520;20241022.062;7.0;0.010416666666666666;True;True;0.0;False;2;;;;
34;50209;OP22;FTM004+2520;20241113.072;8.0;0.010309278350515464;True;True;0.0;False;2;;;;
53;50209;OP22;FTM004+2520;20241022.008;2.0;0.010309278350515464;True;True;0.0;False;2;;;;
58;50209;OP22;FTM004+2520;20241022.051;4.0;0.01020408163265306;True;True;0.0;False;2;;;;
54;50209;OP22;FTM004+2520;20241022.009;2.0;0.010101010101010102;True;True;0.0;False;2;;;;
44;50209;OP22;FTM004+2520;20241022.058;7.0;0.00980392156862745;True;True;0.0;False;2;;;;
83;50209;OP22;KJM008+2520;20241001.060;4.0;0.011235955056179775;True;False;0.03519356460532931;True;2;3.29e+18;1e+16;6.8;0.03
55;50209;OP22;FTM004+2520;20241022.026;3.0;0.02040816326530612;True;False;0.012574187707474097;True;2;;;;
102;50209;OP22;KJM008+2520;20241009.038;3.0;0.011764705882352941;True;False;0.007541478129713424;True;2;2.06e+18;0.0;6.21;0.02
80;50209;OP22;KJM008+2520;20241120.029;14.1;0.011627906976744186;True;False;0.005028916268544128;True;2;;;;
37;50209;OP22;FTM004+2520;20241113.068;6.0;0.0;False;True;0.0;False;1;;;;
43;50209;OP22;FTM004+2520;20241022.057;4.0;0.0;False;True;0.0;False;1;;;;
61;50209;OP22;FTM004+2520;20241022.056;10.0;0.0;False;True;0.0;False;1;;;;
62;50209;OP22;FTM004+2520;20241022.059;10.0;0.0;False;True;0.0;False;1;;;;
