;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
632;20250506.033;0;0;FTM000+2620;OP23
631;20250506.032;0;0;FTM004+2520;OP23
630;20250506.031;0;0;FTM004+2520;OP23
629;20250506.030;0;0;FTM004+2520;OP23
628;20250506.029;0;0;FTM004+2520;OP23
627;20250506.028;0;0;FTM004+2520;OP23
626;20250506.027;0;0;FTM004+2520;OP23
625;20250506.026;0;0;FTM004+2520;OP23
624;20250506.024;0;0;FTM004+2520;OP23
623;20250506.023;0;0;FTM004+2520;OP23
622;20250506.022;0;0;FTM004+2520;OP23
621;20250506.021;0;0;FTM004+2520;OP23
620;20250506.020;0;0;FTM004+2520;OP23
619;20250506.019;0;0;FTM004+2520;OP23
618;20250506.018;0;0;FTM004+2520;OP23
617;20250506.017;0;0;FTM004+2520;OP23
616;20250506.016;0;0;FTM004+2520;OP23
615;20250506.015;0;0;FTM004+2520;OP23
614;20250506.014;0;0;FTM004+2520;OP23
613;20250506.013;0;0;FTM004+2520;OP23
612;20250506.012;0;0;FTM004+2520;OP23
611;20250506.011;0;0;FTM004+2520;OP23
610;20250506.010;0;0;FTM004+2520;OP23
609;20250506.009;0;0;FTM004+2520;OP23
608;20250429.095;0;0;FTM004+2520;OP23
607;20250429.093;0;0;AIM000+2520;OP23
606;20250429.092;0;0;AIM000+2520;OP23
605;20250429.091;0;0;AIM000+2520;OP23
604;20250429.090;0;0;AIM000+2520;OP23
603;20250429.089;0;0;AIM000+2520;OP23
602;20250429.088;0;0;AIM000+2520;OP23
601;20250429.087;0;0;AIM000+2520;OP23
600;20250429.086;0;0;AIM000+2520;OP23
599;20250429.085;0;0;AIM000+2520;OP23
598;20250429.084;0;0;AIM000+2520;OP23
597;20250429.082;0;0;AIM000+2520;OP23
596;20250429.081;0;0;AIM000+2520;OP23
595;20250429.080;0;0;AIM000+2520;OP23
594;20250429.079;0;0;AIM000+2520;OP23
593;20250429.078;0;0;AIM000+2520;OP23
592;20250429.077;0;0;AIM000+2520;OP23
591;20250429.076;0;0;AIM000+2520;OP23
590;20250429.075;0;0;AIM000+2520;OP23
589;20250429.074;0;0;AIM000+2520;OP23
588;20250429.073;0;0;AIM000+2520;OP23
587;20250429.071;0;0;AIM000+2520;OP23
