;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
532;50209;OP23;DBM000+2520;20250401.080;9.0;0.49056603773584906;True;True;0.1636509851226377;True;3;1.315e+19;4e+16;15.2;0.1
525;50209;OP23;DBM000+2520;20250401.077;1.0;0.22105263157894736;True;True;0.16359157407872907;True;3;1.133e+19;6e+16;8.25;0.09
560;50209;OP23;DBM000+2520;20250401.065;2.9;0.3493150684931507;True;True;0.1635330786245727;True;3;;;;
518;50209;OP23;DBM000+2520;20250401.072;7.5;0.05555555555555555;True;True;0.16120438323112496;True;3;7.76e+18;4e+16;17.32;0.18
512;50209;OP23;DBM000+2520;20250401.076;11.0;0.1810344827586207;True;True;0.16118652589240826;True;3;1.129e+19;4e+16;22.89;0.17
23;50209;OP22;DBM000+2520;20241106.043;1.0;0.21428571428571427;True;True;0.15874930880209118;True;3;;;;
542;50209;OP23;DBM000+2520;20250401.081;4.0;0.0449438202247191;True;True;0.15867028766847716;True;3;6.81e+18;3e+16;26.8;0.24
517;50209;OP23;DBM000+2520;20250401.072;6.0;0.06593406593406594;True;True;0.15866230827256725;True;3;6.06e+18;2e+16;22.59;0.17
568;50209;OP23;DBM000+2520;20250401.061;9.9;0.09900990099009901;True;True;0.1586439313917811;True;3;9.03e+18;4e+16;23.0;0.21
529;50209;OP23;DBM000+2520;20250401.080;1.0;0.3;True;True;0.1586248492159228;True;3;1.068e+19;4e+16;15.09;0.1
537;50209;OP23;DBM000+2520;20250401.084;1.0;0.056818181818181816;True;True;0.1586248492159228;True;3;5.73e+18;2e+16;14.11;0.09
28;50209;OP22;DBM000+2520;20241106.045;1.0;0.09574468085106383;True;True;0.15620283730757623;True;3;;;;
528;50209;OP23;DBM000+2520;20250401.077;9.0;0.41237113402061853;True;True;0.15615887380593263;True;3;1.372e+19;7.000000000000001e+16;11.15;0.11
585;50209;OP23;DBM000+2520;20250401.086;4.0;0.30927835051546393;True;True;0.15610074908249963;True;3;1.089e+19;5e+16;13.86;0.12
519;50209;OP23;DBM000+2520;20250401.072;9.0;0.043010752688172046;True;True;0.15364504776269483;True;3;5.66e+18;2e+16;17.35;0.12
5;50209;OP22;DBM000+2520;20241106.055;0.7;0.2283464566929134;True;True;0.15360249384081653;True;3;6.66e+18;4e+16;25.41;0.38
584;50209;OP23;DBM000+2520;20250401.086;1.0;0.31868131868131866;True;True;0.15355993563958165;True;3;1.038e+19;4e+16;13.51;0.11
539;50209;OP23;DBM000+2520;20250401.084;7.0;0.03296703296703297;True;True;0.15109323950741393;True;3;4.6e+18;1e+16;27.74;0.17
14;50209;OP22;DBM000+2520;20241106.058;0.7;0.1592920353982301;True;True;0.15108203321590338;True;3;;;;
17;50209;OP22;DBM000+2520;20241106.056;0.7;0.10909090909090909;True;True;0.14871047207279675;True;3;5.46e+18;2e+16;26.94;0.24
31;50209;OP22;DBM000+2520;20241106.048;1.0;0.13725490196078433;True;True;0.1486663311524912;True;3;;;;
587;50209;OP23;DBM000+2520;20250401.086;9.0;0.46078431372549017;True;True;0.14862893081761006;True;3;1.279e+19;5e+16;14.67;0.11
522;50209;OP23;DBM000+2520;20250401.083;8.0;0.16666666666666666;True;True;0.14852978135209852;True;3;9.03e+18;3e+16;13.03;0.09
546;50209;OP23;DBM000+2520;20250401.053;6.4;0.25;True;True;0.14824120603015076;True;3;9.85e+18;5e+16;29.21;0.32
30;50209;OP22;DBM000+2520;20241106.049;2.7;0.13725490196078433;True;True;0.1460775927137322;True;3;;;;
