;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;ne;std_ne;Te;std_Te
1206;50209;OP22;EIM000+2520;20241106.019;5.0;1.0;False;True;0.7884576714256988;False;3;;;;
1188;50209;OP22;EIM000+2520;20241106.020;29.0;1.0;False;True;0.788430583501006;False;3;;;;
1253;50209;OP22;EIM000+2520;20241106.028;17.0;1.0;False;True;0.7884228525447596;False;3;;;;
1245;50209;OP22;EIM000+2520;20241106.028;1.0;1.0;False;True;0.7884122114369059;False;3;3.1105e+20;2.05223e+21;60.69;1298.27
1360;50209;OP22;EIM000+2520;20241106.022;25.0;1.0;False;True;0.788399678327302;False;3;;;;
1167;50209;OP22;EIM000+2520;20241106.016;11.0;1.0;False;True;0.788351272507796;False;3;;;;
1238;50209;OP22;EIM000+2520;20241106.027;17.0;0.9963369963369964;False;True;0.7883281391374284;False;3;;;;
1384;50209;OP22;EIM000+2520;20241128.066;7.0;0.9987995198079231;False;True;0.7883222691611346;False;3;;;;
1178;50209;OP22;EIM000+2520;20241106.020;9.0;1.0;False;True;0.788261328773324;False;3;;;;
1223;50209;OP22;EIM000+2520;20241106.026;7.0;1.0;False;True;0.7859405641876602;False;3;;;;
1185;50209;OP22;EIM000+2520;20241106.020;23.0;1.0;False;True;0.7859262612544641;False;3;;;;
1250;50209;OP22;EIM000+2520;20241106.028;11.0;1.0;False;True;0.7858650849502362;False;3;;;;
1227;50209;OP22;EIM000+2520;20241106.026;15.0;0.9963414634146341;False;True;0.7858040516764692;False;3;;;;
1148;50209;OP22;EIM000+2520;20241106.013;7.0;1.0;False;True;0.7838746925046438;False;3;;;;
1321;50209;OP22;EIM000+2520;20241106.023;7.0;1.0;False;True;0.7834263589279429;False;3;;;;
1146;50209;OP22;EIM000+2520;20241106.013;3.0;1.0;False;True;0.7834087481146305;False;3;;;;
1207;50209;OP22;EIM000+2520;20241106.019;7.0;1.0;False;True;0.7833735424205871;False;3;;;;
1243;50209;OP22;EIM000+2520;20241106.027;27.0;1.0;False;True;0.7833433916716959;False;3;;;;
1175;50209;OP22;EIM000+2520;20241106.020;3.0;1.0;False;True;0.7832864038616251;False;3;;;;
1176;50209;OP22;EIM000+2520;20241106.020;5.0;1.0;False;True;0.7809231697506034;False;3;;;;
1182;50209;OP22;EIM000+2520;20241106.020;17.0;1.0;False;True;0.7808556633653411;False;3;;;;
1180;50209;OP22;EIM000+2520;20241106.020;13.0;1.0;False;True;0.7808460339017153;False;3;;;;
1205;50209;OP22;EIM000+2520;20241106.019;3.0;1.0;False;True;0.7808460339017153;False;3;;;;
1355;50209;OP22;EIM000+2520;20241106.022;15.0;1.0;False;True;0.7807220434432823;False;3;;;;
1365;50209;OP22;EIM000+2520;20241106.024;5.0;1.0;False;True;0.778353367198109;False;3;;;;
1179;50209;OP22;EIM000+2520;20241106.020;11.0;1.0;False;True;0.7782805429864253;False;3;;;;
1249;50209;OP22;EIM000+2520;20241106.028;9.0;1.0;False;True;0.7782753069027973;False;3;4.5723e+20;2.1095e+20;58.8;
1318;50209;OP22;EIM000+2520;20241106.023;1.0;1.0;False;True;0.7782750817198894;False;3;;;;
1320;50209;OP22;EIM000+2520;20241106.023;5.0;1.0;False;True;0.778252778755721;False;3;;;;
1151;50209;OP22;EIM000+2520;20241106.017;3.0;1.0;False;True;0.7781968119877307;False;3;;;;
1208;50209;OP22;EIM000+2520;20241106.019;9.0;1.0;False;True;0.7759573826515228;False;3;;;;
1187;50209;OP22;EIM000+2520;20241106.020;27.0;1.0;False;True;0.7757892620148803;False;3;;;;
1186;50209;OP22;EIM000+2520;20241106.020;25.0;1.0;False;True;0.7757822718583358;False;3;;;;
1189;50209;OP22;EIM000+2520;20241106.021;1.0;1.0;False;True;0.7734492811903086;False;3;;;;
1385;50209;OP22;EIM000+2520;20241128.066;9.0;0.9988399071925754;False;True;0.7733373548484391;False;3;;;;
1234;50209;OP22;EIM000+2520;20241106.027;9.0;1.0;False;True;0.7732803700724055;False;3;;;;
1239;50209;OP22;EIM000+2520;20241106.027;19.0;1.0;False;True;0.773202614379085;False;3;;;;
1157;50209;OP22;EIM000+2520;20241106.015;3.0;1.0;False;True;0.770940170940171;False;3;;;;
1334;50209;OP22;EIM000+2520;20241106.025;3.0;1.0;False;True;0.7709140298807787;False;3;;;;
1257;50209;OP22;EIM000+2520;20241106.028;25.0;1.0;False;True;0.7707935230815649;False;3;2.2979e+20;1.4177000000000002e+20;59.42;
1233;50209;OP22;EIM000+2520;20241106.027;7.0;1.0;False;True;0.7707819964797586;False;3;;;;
1354;50209;OP22;EIM000+2520;20241106.022;13.0;1.0;False;True;0.768356467511567;False;3;;;;
1319;50209;OP22;EIM000+2520;20241106.023;3.0;1.0;False;True;0.7682638644476847;False;3;;;;
1256;50209;OP22;EIM000+2520;20241106.028;23.0;1.0;False;True;0.7658536585365854;False;3;;;;
1214;50209;OP22;EIM000+2520;20241106.019;21.0;1.0;False;True;0.7657240615880044;False;3;;;;
1366;50209;OP22;EIM000+2520;20241106.024;7.0;1.0;False;True;0.7656525018858436;False;3;;;;
1324;50209;OP22;EIM000+2520;20241106.023;13.0;1.0;False;True;0.7638309632681775;False;3;;;;
1228;50209;OP22;EIM000+2520;20241106.026;17.0;1.0;False;True;0.7638052208835341;False;3;;;;
