;LP;campaign;configuration;dischargeID;plunge;V_limit_failure;V_limit_failure_yn;V_limit_change;R_limit_failure;R_limit_failure_yn;numberOfFailureIndicators;Failed;ne;std_ne;Te;std_Te
40;51222;OP22;AIM000+2520;20241211.037;8.0;0.9827586206896551;True;True;0.9623380536306116;True;3;True;1.5661e+20;1.4500999999999998e+20;40.31;30.5
2243;51222;OP23;FMM002+1800;20250423.019;4.0;0.96875;True;True;0.9622840498192045;True;3;True;;;;
132;51222;OP22;DIR001+2520;20241211.083;3.0;1.0;True;True;0.9622831279859191;True;3;True;7.4213e+20;5.54e+18;25.37;1.64
311;51222;OP22;EIM000+2520;20241212.010;15.0;1.0;True;True;0.9622812311406156;True;3;True;7.2399e+20;1.125e+19;10.38;0.43
31;51222;OP22;AIM000+2520;20241211.036;13.0;0.9836956521739131;True;True;0.9620112857718662;True;3;True;7.5016e+20;1.565e+19;61.53;9.7
2250;51222;OP23;FMM002+1800;20250423.020;6.0;0.9820359281437125;True;True;0.9618841962537036;True;3;True;;;;
39;51222;OP22;AIM000+2520;20241211.037;4.5;0.9833333333333333;True;True;0.9598373412319896;True;3;True;1e+21;1.446024e+22;7.13;204.32
295;51222;OP22;EIM000+2520;20241127.047;10.87;0.9725274725274725;True;True;0.9597871379085295;True;3;True;;;;
118;51222;OP22;DIR001+2520;20241211.079;3.0;1.0;True;True;0.9597204063160012;True;3;True;8.2788e+20;1.55e+19;37.71;3.22
109;51222;OP22;DIR001+2520;20241211.080;11.0;1.0;True;True;0.9597183806889615;True;3;True;5.8369000000000007e+20;2.88e+18;23.23;0.87
120;51222;OP22;DIR001+2520;20241211.079;7.0;1.0;True;True;0.9597183806889615;True;3;True;7.3107e+20;5.28e+18;24.83;1.45
80;51222;OP22;DIR001+2520;20241211.075;6.0;1.0;True;True;0.9596883639105303;True;3;True;7.957300000000001e+20;3.118e+19;57.51;8.34
241;51222;OP22;EIM000+2520;20241127.009;0.8700000000000001;0.9523809523809523;True;True;0.9596745844423241;True;3;True;5.5791999999999993e+20;5.86e+18;60.71;2.23
204;51222;OP22;DIR001+2520;20241211.062;27.0;1.0;True;True;0.9595070422535211;True;3;True;9.8544e+20;1.241648e+22;6.59;164.68
2535;51222;OP23;FTM004+2520;20250429.054;2.7;1.0;True;True;0.9571636619293928;True;3;True;;;;
99;51222;OP22;DIR001+2520;20241211.074;21.0;1.0;True;True;0.9570508951921143;True;3;True;3.247e+20;2.12e+18;32.3;1.12
272;51222;OP22;EIM000+2520;20241127.045;0.8700000000000001;0.9771428571428571;True;True;0.9567145376669186;True;3;True;;;;
41;51222;OP22;AIM000+2520;20241211.042;1.0;0.9772727272727273;True;True;0.954801124949779;True;3;True;7.206e+20;4.414e+19;58.67;44.77
186;51222;OP22;DIR001+2520;20241211.054;3.0;1.0;True;True;0.9547531763169789;True;3;True;1e+21;3.51013e+21;7.19;50.04
2248;51222;OP23;FMM002+1800;20250423.020;2.0;0.9666666666666667;True;True;0.9546599496221663;True;3;True;;;;
2556;51222;OP23;FTM004+2520;20250429.053;6.2;1.0;True;True;0.954447290442469;True;3;True;;;;
2382;51222;OP23;FTM004+1800;20250423.027;4.0;0.9645390070921985;True;True;0.9520937013019655;True;3;True;;;;
293;51222;OP22;EIM000+2520;20241127.047;6.87;0.9788359788359788;True;True;0.9520413800030131;True;3;True;;;;
260;51222;OP22;EIM000+2520;20241127.042;0.8700000000000001;0.952;True;True;0.9518447773197949;True;3;True;;;;
264;51222;OP22;EIM000+2520;20241127.042;8.87;0.950920245398773;True;True;0.9516517722662918;True;3;True;;;;
279;51222;OP22;EIM000+2520;20241127.044;2.87;0.9583333333333334;True;True;0.9496221662468514;True;3;True;1e+21;1.7e+17;11.09;0.71
119;51222;OP22;DIR001+2520;20241211.079;5.0;1.0;True;True;0.9495827887805368;True;3;True;9.061e+20;3.819e+19;47.23;7.37
93;51222;OP22;DIR001+2520;20241211.074;9.0;1.0;True;True;0.9495650424900689;True;3;True;5.2167999999999993e+20;2.45e+18;19.23;0.41
261;51222;OP22;EIM000+2520;20241127.042;2.87;0.946969696969697;True;True;0.9494700889045156;True;3;True;;;;
2381;51222;OP23;FTM004+1800;20250423.027;1.0;0.9571428571428572;True;True;0.9492165852183989;True;3;True;;;;
2533;51222;OP23;FTM004+2520;20250429.057;2.7;1.0;True;True;0.9491252764930626;True;3;True;;;;
85;51222;OP22;DIR001+2520;20241211.076;12.3;1.0;True;True;0.9471620330802876;True;3;True;7.391499999999999e+20;6.94e+18;32.3;1.7
